[2026-03-06T05:46:00.393527][INFO] 配置已更新: console_log=error retry_mode=polling
[2026-03-06T05:46:53.960377][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.165) 172ms
[2026-03-06T05:46:53.960421][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.24) 181ms
[2026-03-06T05:46:53.960460][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.91.155) 172ms
[2026-03-06T05:46:53.961372][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.55) 174ms
[2026-03-06T05:46:53.962646][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.25.73.167) 175ms
[2026-03-06T05:46:53.962983][DEBUG] ✓ UDP://tracker.gmi.gd:6969 (209.141.59.25) 172ms
[2026-03-06T05:46:53.963578][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.91.151) 175ms
[2026-03-06T05:46:53.963873][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.127) 178ms
[2026-03-06T05:46:53.964170][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.52) 177ms
[2026-03-06T05:46:53.965379][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (2606:4700:3034::6815:36ba) 182ms
[2026-03-06T05:46:53.965701][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.231.188) 181ms
[2026-03-06T05:46:53.965755][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.121) 179ms
[2026-03-06T05:46:53.966327][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.230.89) 181ms
[2026-03-06T05:46:53.966381][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.180) 177ms
[2026-03-06T05:46:53.966422][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.224) 177ms
[2026-03-06T05:46:53.967269][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (104.21.18.88) 175ms
[2026-03-06T05:46:53.967323][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.3) 178ms
[2026-03-06T05:46:53.968598][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.241) 179ms
[2026-03-06T05:46:53.970323][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.129) 181ms
[2026-03-06T05:46:53.970656][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.244) 181ms
[2026-03-06T05:46:53.971000][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.35) 183ms
[2026-03-06T05:46:53.971464][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.53) 185ms
[2026-03-06T05:46:53.972419][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (2606:4700:3034::ac43:b584) 181ms
[2026-03-06T05:46:53.975362][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.31) 197ms
[2026-03-06T05:46:53.975723][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.30) 197ms
[2026-03-06T05:46:53.980437][DEBUG] ✓ UDP://tracker.xn--djrq4gl4hvoi.top:80 (154.201.75.73) 174ms
[2026-03-06T05:46:53.985759][DEBUG] ✓ UDP://tracker.playground.ru:6969 (212.42.38.197) 198ms
[2026-03-06T05:46:53.988888][DEBUG] ✓ UDP://tracker.1h.is:1337 (107.189.4.235) 193ms
[2026-03-06T05:46:53.991468][DEBUG] ✓ TCP://lucke.fenesisu.moe:6969 (207.211.184.229) 208ms
[2026-03-06T05:46:53.992065][DEBUG] ✓ UDP://d40969.acod.regrucolo.ru:6969 (176.99.7.59) 207ms
[2026-03-06T05:46:53.995939][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (89.234.156.205) 215ms
[2026-03-06T05:46:54.003222][DEBUG] ✓ UDP://2001:41d0:2:52b1::1:6969 (2001:41d0:2:52b1::1) 216ms
[2026-03-06T05:46:54.003642][DEBUG] ✓ TCP://tracker.mywaifu.best:6969 (95.217.167.10) 225ms
[2026-03-06T05:46:54.005173][DEBUG] ✓ UDP://tracker.gmi.gd:6969 (2605:6400:20:6c::) 215ms
[2026-03-06T05:46:54.019730][DEBUG] ✓ UDP://tracker.fnix.net:6969 (2a04:52c0:129:4157::a80) 241ms
[2026-03-06T05:46:54.024750][DEBUG] ✓ UDP://tracker.plx.im:6969 (54.36.179.216) 213ms
[2026-03-06T05:46:54.042289][DEBUG] ✓ UDP://tracker.bittor.pw:1337 (34.66.57.33) 247ms
[2026-03-06T05:46:54.043936][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (2a03:7220:8083:cd00::1) 265ms
[2026-03-06T05:46:54.048032][DEBUG] ✓ UDP://udp.tracker.projectk.org:23333 (23.175.184.30) 233ms
[2026-03-06T05:46:54.052076][DEBUG] ✓ UDP://www.torrent.eu.org:451 (91.216.110.53) 270ms
[2026-03-06T05:46:54.052600][DEBUG] ✓ UDP://tracker.bluefrog.pw:2710 (88.80.22.67) 256ms
[2026-03-06T05:46:54.054352][DEBUG] ✓ TCP://tracker.dhitechnical.com:6969 (140.235.237.23) 264ms
[2026-03-06T05:46:54.054940][DEBUG] ✓ TCP://sukebei.tracker.wf:8888 (195.16.73.66) 279ms
[2026-03-06T05:46:54.057682][DEBUG] ✓ UDP://udp.tracker.projectk.org:23333 (2602:f93b:131:a:be24:11ff:fe79:fff7) 248ms
[2026-03-06T05:46:54.067509][DEBUG] ✓ UDP://tracker.qu.ax:6969 (43.250.54.137) 261ms
[2026-03-06T05:46:54.068100][DEBUG] ✓ UDP://tracker.riverarmy.xyz:6969 (18.232.197.8) 258ms
[2026-03-06T05:46:54.070116][DEBUG] ✓ UDP://retracker.lanta.me:2710 (37.235.176.37) 282ms
[2026-03-06T05:46:54.077936][DEBUG] ✓ UDP://bittorrent-tracker.e-n-c-r-y-p-t.net:1337 (2605:6400:30:fad6::dead:c0d3) 267ms
[2026-03-06T05:46:54.080234][DEBUG] ✓ UDP://2a03:94e0:ffff:185:243:218:0:213:80 (2a03:94e0:ffff:185:243:218:0:213) 281ms
[2026-03-06T05:46:54.090192][DEBUG] ✓ UDP://evan.im:6969 (74.119.150.221) 275ms
[2026-03-06T05:46:54.090570][DEBUG] ✓ UDP://tracker.bluefrog.pw:2710 (2a00:16b0:242:25::14) 292ms
[2026-03-06T05:46:54.099418][DEBUG] ✓ UDP://tracker.qu.ax:6969 (2406:4fc0:1002::137) 290ms
[2026-03-06T05:46:54.104148][DEBUG] ✓ UDP://tracker.ixuexi.click:6969 (2a01:7a7:2:3ed6:225:90ff:fefb:3dfc) 288ms
[2026-03-06T05:46:54.104540][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (104.21.53.179) 159ms
[2026-03-06T05:46:54.104845][DEBUG] ✓ UDP://51.81.222.188:6969 (51.81.222.188) 319ms
[2026-03-06T05:46:54.109530][DEBUG] ✓ TCP://ttk2.nbaonlineservice.com:80 (54.39.48.3) 327ms
[2026-03-06T05:46:54.110557][DEBUG] ✓ UDP://tracker.bittor.pw:1337 (2600:1900:4001:4b5:8000::) 315ms
[2026-03-06T05:46:54.116901][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.67.187.230) 165ms
[2026-03-06T05:46:54.117468][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (2606:4700:3036::6815:3985) 165ms
[2026-03-06T05:46:54.118718][DEBUG] ✓ UDP://tracker.waaa.moe:6969 (216.144.239.90) 321ms
[2026-03-06T05:46:54.119026][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.66.132.230) 168ms
[2026-03-06T05:46:54.119077][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (104.21.56.230) 169ms
[2026-03-06T05:46:54.124145][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (2606:4700:3034::ac43:d819) 178ms
[2026-03-06T05:46:54.124857][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (2606:4700:3035::6815:35b3) 178ms
[2026-03-06T05:46:54.129089][DEBUG] ✓ UDP://tracker.breizh.pm:6969 (2a01:e0a:ebd:2640:ba27:ebff:fe2c:db88) 323ms
[2026-03-06T05:46:54.133325][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (2606:4700:3035::ac43:a410) 181ms
[2026-03-06T05:46:54.133663][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.66.140.230) 184ms
[2026-03-06T05:46:54.133723][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (172.67.216.25) 189ms
[2026-03-06T05:46:54.146381][DEBUG] ✓ UDP://6ahddutb1ucc3cp.ru:6969 (185.189.13.108) 327ms
[2026-03-06T05:46:54.195468][DEBUG] ✓ TCP://2c0f:f4c0::108:80 (2c0f:f4c0::108) 413ms
[2026-03-06T05:46:54.197349][DEBUG] ✓ UDP://tracker.srv00.com:6969 (91.186.213.204) 257ms
[2026-03-06T05:46:54.201493][DEBUG] ✓ UDP://t.overflow.biz:6969 (187.56.163.25) 382ms
[2026-03-06T05:46:54.204738][DEBUG] ✓ UDP://tracker.srv00.com:6969 (147.45.77.75) 260ms
[2026-03-06T05:47:04.022236][DEBUG] ✓ UDP://bittorrent-tracker.e-n-c-r-y-p-t.net:1337 (107.189.2.131) 197ms
[2026-03-06T05:47:04.031261][DEBUG] ✓ UDP://open.dstud.io:6969 (212.8.249.30) 206ms
[2026-03-06T05:47:04.052924][DEBUG] ✓ UDP://tracker.t-1.org:6969 (2605:6400:30:f8f3:1f:b20a:a8c1:1337) 245ms
[2026-03-06T05:47:04.069566][DEBUG] ✓ UDP://torrentvpn.club:6990 (31.57.241.202) 244ms
[2026-03-06T05:47:04.076922][DEBUG] ✓ UDP://www.torrent.eu.org:451 (2001:912:800:208::53) 285ms
[2026-03-06T05:47:04.086840][DEBUG] ✓ UDP://tracker.ixuexi.click:6969 (173.201.36.219) 262ms
[2026-03-06T05:47:04.112316][DEBUG] ✓ UDP://ns575949.ip-51-222-82.net:6969 (51.222.82.36) 304ms
[2026-03-06T05:47:08.808537][ERROR] ✗ UDP://tracker.therarbg.to:6969 (84.54.51.78) 离线 | 超时(>5s)
[2026-03-06T05:47:13.980651][DEBUG] ✓ UDP://tracker.t-1.org:6969 (107.189.7.165) 172ms
[2026-03-06T05:47:13.999755][DEBUG] ✓ UDP://tracker.opentorrent.top:6969 (81.230.84.201) 192ms
[2026-03-06T05:47:14.079810][DEBUG] ✓ UDP://tracker.1h.is:1337 (2605:6400:30:f922:35d4:58f4:75eb:1337) 270ms
[2026-03-06T05:47:14.108275][DEBUG] ✓ UDP://tracker.breizh.pm:6969 (82.67.183.86) 299ms
[2026-03-06T05:47:14.238793][DEBUG] ✓ UDP://44.30.4.70:6969 (44.30.4.70) 274ms
[2026-03-06T05:47:28.808489][DEBUG] ✓ UDP://bt.rer.lol:6969 (2408:8248:412:cf90::1) 0ms
[2026-03-06T05:47:28.846184][DEBUG] ✓ UDP://tracker.iperson.xyz:6969 (120.78.150.131) 22ms
[2026-03-06T05:47:28.862878][DEBUG] ✓ UDP://speedtest.iperson.xyz:6969 (240e:355:7f1f:d900:e2e1:a9ff:fe1a:1f93) 39ms
[2026-03-06T05:47:29.008489][DEBUG] ✓ UDP://tracker.opentrackr.org:1337 (93.158.213.92) 201ms
[2026-03-06T05:47:29.009043][DEBUG] ✓ UDP://176.123.1.180:6969 (176.123.1.180) 217ms
[2026-03-06T05:47:29.032017][DEBUG] ✓ UDP://open.demonii.com:1337 (185.121.168.96) 207ms
[2026-03-06T05:47:59.061377][DEBUG] ✓ UDP://uabits.today:6990 (163.5.63.253) 236ms
[2026-03-06T05:47:59.146835][DEBUG] ✓ UDP://open.demonii.com:1337 (2a06:1280:f115::2) 307ms
[2026-03-06T05:48:03.839384][ERROR] ✗ UDP://bandito.byterunner.io:6969 (103.251.166.126) 离线 | 超时(>5s)
[2026-03-06T05:48:03.843345][INFO] 轮检完成 | 总:136 [v4:106 v6:30] | 在线:134 [v4:104 v6:30]
[2026-03-06T05:48:33.868107][DEBUG] ✓ TCP://ipv6.rer.lol:6969 (2408:8248:481:5b:5d95:b88b:f1ea:c8e7) 0ms
[2026-03-06T05:48:33.902586][DEBUG] ✓ UDP://bt.rer.lol:6969 (2408:8248:412:cf90::1) 8ms
[2026-03-06T05:48:33.913916][DEBUG] ✓ UDP://admin.52ywp.com:6969 (60.172.236.18) 42ms
[2026-03-06T05:48:33.920991][DEBUG] ✓ UDP://tracker.iperson.xyz:6969 (120.78.150.131) 24ms
[2026-03-06T05:48:33.946423][DEBUG] ✓ UDP://speedtest.iperson.xyz:6969 (240e:355:7f1f:d900:e2e1:a9ff:fe1a:1f93) 40ms
[2026-03-06T05:48:34.015017][DEBUG] ✓ TCP://207.241.226.111:6969 (207.241.226.111) 147ms
[2026-03-06T05:48:34.029109][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.25) 162ms
[2026-03-06T05:48:34.034327][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.27) 168ms
[2026-03-06T05:48:34.036909][DEBUG] ✓ TCP://tracker.renfei.net:8080 (2606:4700:3032::6815:3ab0) 167ms
[2026-03-06T05:48:34.038328][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.22) 172ms
[2026-03-06T05:48:34.038869][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.23) 172ms
[2026-03-06T05:48:34.039334][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.25.73.167) 162ms
[2026-03-06T05:48:34.040145][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.18.19.205) 163ms
[2026-03-06T05:48:34.040476][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.28) 174ms
[2026-03-06T05:48:34.041161][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.95) 166ms
[2026-03-06T05:48:34.041535][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.24) 174ms
[2026-03-06T05:48:34.042271][DEBUG] ✓ TCP://ipv4.rer.lol:2710 (211.97.119.76) 0ms
[2026-03-06T05:48:34.042688][DEBUG] ✓ TCP://tracker.renfei.net:8080 (172.67.162.102) 174ms
[2026-03-06T05:48:34.043207][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.31) 176ms
[2026-03-06T05:48:34.043552][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.100) 167ms
[2026-03-06T05:48:34.043858][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.241) 165ms
[2026-03-06T05:48:34.044230][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.30) 177ms
[2026-03-06T05:48:34.044289][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.29) 177ms
[2026-03-06T05:48:34.044571][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (2606:4700:3035::ac43:8d1a) 171ms
[2026-03-06T05:48:34.045196][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.231.229) 170ms
[2026-03-06T05:48:34.045253][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.104) 169ms
[2026-03-06T05:48:34.045302][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.171) 167ms
[2026-03-06T05:48:34.046130][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.79) 168ms
[2026-03-06T05:48:34.046489][DEBUG] ✓ TCP://tracker.renfei.net:8080 (2606:4700:3037::ac43:a266) 177ms
[2026-03-06T05:48:34.046535][DEBUG] ✓ TCP://tracker.renfei.net:8080 (104.21.58.176) 177ms
[2026-03-06T05:48:34.047390][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.26) 181ms
[2026-03-06T05:48:34.047287][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.230.189) 173ms
[2026-03-06T05:48:34.047356][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.165) 170ms
[2026-03-06T05:48:34.047725][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.127) 171ms
[2026-03-06T05:48:34.048332][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.198) 168ms
[2026-03-06T05:48:34.048391][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (172.67.181.132) 164ms
[2026-03-06T05:48:34.048431][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.241) 168ms
[2026-03-06T05:48:34.048729][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (2606:4700:3034::ac43:b584) 165ms
[2026-03-06T05:48:34.048776][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.171) 169ms
[2026-03-06T05:48:34.048815][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.55) 172ms
[2026-03-06T05:48:34.048846][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.231.3) 175ms
[2026-03-06T05:48:34.049620][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.230.209) 175ms
[2026-03-06T05:48:34.049675][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (104.21.18.88) 165ms
[2026-03-06T05:48:34.051240][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.15) 175ms
[2026-03-06T05:48:34.051697][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (2606:4700:3034::6815:36ba) 179ms
[2026-03-06T05:48:34.052345][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.83) 174ms
[2026-03-06T05:48:34.052627][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.152) 172ms
[2026-03-06T05:48:34.052682][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.230.89) 178ms
[2026-03-06T05:48:34.053252][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.121) 177ms
[2026-03-06T05:48:34.053581][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.3) 175ms
[2026-03-06T05:48:34.054092][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.231.222) 180ms
[2026-03-06T05:48:34.054139][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.224) 175ms
[2026-03-06T05:48:34.054512][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (2606:4700:3034::6815:1258) 171ms
[2026-03-06T05:48:34.054850][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.121) 177ms
[2026-03-06T05:48:34.054903][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.52) 178ms
[2026-03-06T05:48:34.055193][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.231.188) 180ms
[2026-03-06T05:48:34.056059][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.91.151) 177ms
[2026-03-06T05:48:34.056335][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.180) 177ms
[2026-03-06T05:48:34.057718][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.129) 178ms
[2026-03-06T05:48:34.058324][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.231.224) 184ms
[2026-03-06T05:48:34.058858][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.35) 181ms
[2026-03-06T05:48:34.059857][DEBUG] ✓ UDP://tracker.gmi.gd:6969 (209.141.59.25) 182ms
[2026-03-06T05:48:34.060639][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.53) 184ms
[2026-03-06T05:48:34.061178][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.249) 182ms
[2026-03-06T05:48:34.061499][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.32) 195ms
[2026-03-06T05:48:34.061554][DEBUG] ✓ UDP://www.torrent.eu.org:451 (91.216.110.53) 191ms
[2026-03-06T05:48:34.061590][DEBUG] ✓ UDP://torrentvpn.club:6990 (31.57.241.202) 164ms
[2026-03-06T05:48:34.064566][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.244) 184ms
[2026-03-06T05:48:34.067992][DEBUG] ✓ UDP://tracker.opentrackr.org:1337 (93.158.213.92) 178ms
[2026-03-06T05:48:34.073870][DEBUG] ✓ UDP://tracker.xn--djrq4gl4hvoi.top:80 (154.201.75.73) 179ms
[2026-03-06T05:48:34.077209][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.91.155) 200ms
[2026-03-06T05:48:34.080305][DEBUG] ✓ UDP://tracker.therarbg.to:6969 (84.54.51.78) 193ms
[2026-03-06T05:48:34.081691][DEBUG] ✓ UDP://tracker.bluefrog.pw:2710 (88.80.22.67) 195ms
[2026-03-06T05:48:34.082466][DEBUG] ✓ UDP://tracker.opentorrent.top:6969 (81.230.84.201) 194ms
[2026-03-06T05:48:34.083408][DEBUG] ✓ UDP://uabits.today:6990 (163.5.63.253) 190ms
[2026-03-06T05:48:34.089220][DEBUG] ✓ TCP://lucke.fenesisu.moe:6969 (207.211.184.229) 216ms
[2026-03-06T05:48:34.096155][DEBUG] ✓ UDP://open.dstud.io:6969 (212.8.249.30) 200ms
[2026-03-06T05:48:34.103621][DEBUG] ✓ UDP://tracker.gmi.gd:6969 (2605:6400:20:6c::) 225ms
[2026-03-06T05:48:34.104708][DEBUG] ✓ UDP://open.demonii.com:1337 (185.121.168.96) 202ms
[2026-03-06T05:48:34.105507][DEBUG] ✓ UDP://bandito.byterunner.io:6969 (103.251.166.126) 203ms
[2026-03-06T05:48:34.106017][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (89.234.156.205) 238ms
[2026-03-06T05:48:34.107788][DEBUG] ✓ UDP://tracker.fnix.net:6969 (2a04:52c0:129:4157::a80) 241ms
[2026-03-06T05:48:34.114452][DEBUG] ✓ UDP://tracker.bittor.pw:1337 (34.66.57.33) 238ms
